Fitness (volume)	CentroidDistance25p(Score1)	AngularDistance25p(Score2)	Complexity	Filename	
0.00015785842525179795	0.69134	0.74293	2.2891245084092975	2020.04.30_19h17/mesh_1588267028_decim.stl
0.0009165887178646241	0.7891	0.70356	2.5895299716212996	2020.04.30_19h17/mesh_1588269787_decim.stl
0.0008704031729638133	0.78433	0.72736	1.7158954944237261	2020.04.30_19h17/mesh_1588267043_decim.stl
0.0003208874961581575	0.72294	0.70263	2.8577168737952245	2020.04.30_19h17/mesh_1588270878_decim.stl
0.000993001977253543	0.79171	0.71092	2.27319696258515	2020.04.30_19h17/mesh_1588267169_decim.stl
0.00029132225296948276	0.74395	0.75588	2.1705209088535122	2020.04.30_19h17/mesh_1588267069_decim.stl
0.0008112475676160903	0.79877	0.74717	2.0181225270225065	2020.04.30_19h17/mesh_1588267076_decim.stl
0.0006919543600454512	0.72021	0.7537	1.2619433367380775	2020.04.30_19h17/mesh_1588267086_decim.stl
0.0007634254863083275	0.80342	0.71053	2.360420147212882	2020.04.30_19h17/mesh_1588271918_decim.stl
0.0006696481683729248	0.76963	0.70769	2.3059910761710074	2020.04.30_19h17/mesh_1588268005_decim.stl
0.0010074160158921668	0.85526	0.73182	1.983339900489967	2020.04.30_19h17/mesh_1588267109_decim.stl
0.00011993929060947659	0.80813	0.75566	2.67901397815249	2020.04.30_19h17/mesh_1588267121_decim.stl
0.0007971754989606246	0.78028	0.70715	2.526897502920959	2020.04.30_19h17/mesh_1588270248_decim.stl
0.000156371287685676	0.79671	0.77117	1.7972212809464765	2020.04.30_19h17/mesh_1588267138_decim.stl
0.000910052650530039	0.80758	0.69196	2.1070028222735977	2020.04.30_19h17/mesh_1588267144_decim.stl
0.0009003912453271957	0.76347	0.70442	2.6535007594249818	2020.04.30_19h17/mesh_1588271007_decim.stl
0.00017058256421888132	0.66478	0.72257	2.881734814371522	2020.04.30_19h17/mesh_1588272087_decim.stl
0.0002489342539845811	0.74719	0.73985	2.784318804403131	2020.04.30_19h17/mesh_1588524896_decim.stl
0.00030909719288069697	0.74824	0.72323	2.911503169917657	2020.04.30_19h17/mesh_1589045235_decim.stl
0.000787654877118574	0.81763	0.75948	1.6357097772343296	2020.04.30_19h17/mesh_1588267199_decim.stl
0.0008211131001432406	0.7899	0.69808	2.4478720268158196	2020.04.30_19h17/mesh_1588270180_decim.stl
0.0006122920961691709	0.78801	0.73492	2.1011375545047564	2020.04.30_19h17/mesh_1588267217_decim.stl
0.0011832784712327022	0.86498	0.72223	1.7037734545103655	2020.04.30_19h17/mesh_1588267225_decim.stl
0.00022596597504423102	0.66193	0.74596	1.7658919733263443	2020.04.30_19h17/mesh_1588267237_decim.stl
0.0008240897197101528	0.75232	0.69762	2.4914161775989716	2020.04.30_19h17/mesh_1588267243_decim.stl
0.0009052300477660446	0.76538	0.69279	2.4343186147151936	2020.04.30_19h17/mesh_1588267976_decim.stl
0.000712202102806086	0.75277	0.72489	2.485889949474551	2020.04.30_19h17/mesh_1588268979_decim.stl
0.0010262761091461739	0.76064	0.68938	2.5336564955145664	2020.04.30_19h17/mesh_1588270694_decim.stl
0.0009141390959677881	0.80903	0.71424	2.6062388175567506	2020.04.30_19h17/mesh_1588270987_decim.stl
0.0008367996596851787	0.75297	0.71312	2.3731473664880736	2020.04.30_19h17/mesh_1588267289_decim.stl
0.0005228284157653047	0.72984	0.71411	2.4455231959272723	2020.04.30_19h17/mesh_1588269099_decim.stl
0.00041191453828359726	0.79732	0.72726	2.528242012893193	2020.04.30_19h17/mesh_1588269393_decim.stl
0.000567960017892128	0.78107	0.71258	2.4311684212395166	2020.04.30_19h17/mesh_1588271560_decim.stl
0.0008157148718741282	0.76301	0.71193	2.290297713769077	2020.04.30_19h17/mesh_1588269021_decim.stl
0.001181935350239428	0.77262	0.69051	2.4438910181594564	2020.04.30_19h17/mesh_1588267326_decim.stl
0.0008039689851900419	0.74878	0.7039	2.3448213390606414	2020.04.30_19h17/mesh_1588267337_decim.stl
0.0006350788395750294	0.74419	0.69243	2.8448110342573534	2020.04.30_19h17/mesh_1588270912_decim.stl
0.0005987258998988885	0.78899	0.73735	1.942715511907076	2020.04.30_19h17/mesh_1588267356_decim.stl
0.0008539945796328147	0.78811	0.72219	2.390224955320911	2020.04.30_19h17/mesh_1588268909_decim.stl
0.0004460335307061336	0.71295	0.70448	2.583469808045807	2020.04.30_19h17/mesh_1588269139_decim.stl
0.00020559259595183174	0.68253	0.71885	2.5575662312210126	2020.04.30_19h17/mesh_1588267391_decim.stl
0.00011419812499420454	0.66196	0.71872	3.130149597420454	2020.04.30_19h17/mesh_1588267396_decim.stl
0.0004934968165120445	0.78184	0.73091	2.1723864193862603	2020.04.30_19h17/mesh_1588270313_decim.stl
0.00036873592209143427	0.739	0.71756	2.414359109120266	2020.04.30_19h17/mesh_1588267408_decim.stl
0.0002675493267884258	0.69808	0.72811	2.7908389111939296	2020.04.30_19h17/mesh_1588477260_decim.stl
8.245443541144376e-05	0.68325	0.72445	2.554411861568577	2020.04.30_19h17/mesh_1588267432_decim.stl
9.565022235729815e-05	0.70212	0.72951	2.9090781452277192	2020.04.30_19h17/mesh_1588342786_decim.stl
0.0007931323935327306	0.7739	0.70675	2.7423597923504905	2020.04.30_19h17/mesh_1588272640_decim.stl
0.00056224818909041	0.75529	0.70936	2.467195857570538	2020.04.30_19h17/mesh_1588272825_decim.stl
0.0003974083385449676	0.7414	0.72378	2.844044715000952	2020.04.30_19h17/mesh_1588267460_decim.stl
8.365355411351345e-05	0.68033	0.7299	3.2681651198747312	2020.04.30_19h17/mesh_1588267467_decim.stl
0.0008378114480382354	0.7592	0.72433	2.1776240647245313	2020.04.30_19h17/mesh_1588267899_decim.stl
